epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.008559606969356537,,,,,
0,82,,,0.010500148870050907,1.016855239868164,0.010500148870050907,1.9999980926513672,0.010500148870050907
0,82,0.01378773245960474,,,,,,
1,99,,0.008381472900509834,,,,,
1,149,,0.009240997955203056,,,,,
1,165,,,0.01056666113436222,1.0232964754104614,0.01056666113436222,1.9999980926513672,0.01056666113436222
1,165,0.013580462895333767,,,,,,
2,199,,0.01992044411599636,,,,,
2,248,,,0.010558178648352623,1.022475004196167,0.010558178648352623,1.9999980926513672,0.010558178648352623
2,248,0.013562628999352455,,,,,,
3,249,,0.007427346892654896,,,,,
3,299,,0.027504824101924896,,,,,
3,331,,,0.010404868982732296,1.0076282024383545,0.010404868982732296,1.9999979734420776,0.010404868982732296
3,331,0.013479257002472878,,,,,,
4,349,,0.006941066589206457,,,,,
4,399,,0.026692576706409454,,,,,
4,414,,,0.01037527434527874,1.0047621726989746,0.01037527434527874,1.9999979734420776,0.01037527434527874
4,414,0.01354031078517437,,,,,,
5,449,,0.014879778027534485,,,,,
5,497,,,0.010401739738881588,1.0073251724243164,0.010401739738881588,1.9999979734420776,0.010401739738881588
5,497,0.013538196682929993,,,,,,
6,499,,0.01813216507434845,,,,,
6,549,,0.0073614465072751045,,,,,
6,580,,,0.010392284952104092,1.0064095258712769,0.010392284952104092,1.9999979734420776,0.010392284952104092
6,580,0.01343105174601078,,,,,,
7,599,,0.012915050610899925,,,,,
7,649,,0.009861817583441734,,,,,
7,663,,,0.010388246737420559,1.0060184001922607,0.010388246737420559,1.9999979734420776,0.010388246737420559
7,663,0.013430002145469189,,,,,,
8,699,,0.013344783335924149,,,,,
8,746,,,0.010452206246554852,1.0122123956680298,0.010452206246554852,1.9999980926513672,0.010452206246554852
8,746,0.01329152099788189,,,,,,
9,749,,0.008065485395491123,,,,,
9,799,,0.01593516767024994,,,,,
9,829,,,0.010557522997260094,1.0224114656448364,0.010557522997260094,1.9999980926513672,0.010557522997260094
9,829,0.013446151278913021,,,,,,
