epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.016497239470481873,,,,,
0,82,,,0.010690993629395962,1.0353370904922485,0.010690993629395962,1.9999980926513672,0.010690993629395962
0,82,0.013557172380387783,,,,,,
1,99,,0.007513717748224735,,,,,
1,149,,0.008700954727828503,,,,,
1,165,,,0.010806072503328323,1.0464814901351929,0.010806072503328323,1.9999980926513672,0.010806072503328323
1,165,0.013490797951817513,,,,,,
2,199,,0.016956426203250885,,,,,
2,248,,,0.010799042880535126,1.045800805091858,0.010799042880535126,1.9999980926513672,0.010799042880535126
2,248,0.013509419746696949,,,,,,
3,249,,0.016246266663074493,,,,,
3,299,,0.01649513468146324,,,,,
3,331,,,0.01071709580719471,1.0378648042678833,0.01071709580719471,1.9999980926513672,0.01071709580719471
3,331,0.013552418909966946,,,,,,
4,349,,0.014616483822464943,,,,,
4,399,,0.014933926984667778,,,,,
4,414,,,0.010562634095549583,1.0229064226150513,0.010562634095549583,1.9999980926513672,0.010562634095549583
4,414,0.013328485190868378,,,,,,
5,449,,0.005474193021655083,,,,,
5,497,,,0.010481294244527817,1.0150293111801147,0.010481294244527817,1.9999980926513672,0.010481294244527817
5,497,0.013405894860625267,,,,,,
6,499,,0.012157727032899857,,,,,
6,549,,0.022369660437107086,,,,,
6,580,,,0.010402209125459194,1.0073705911636353,0.010402209125459194,1.9999979734420776,0.010402209125459194
6,580,0.01331451814621687,,,,,,
7,599,,0.009800316765904427,,,,,
7,649,,0.007820365019142628,,,,,
7,663,,,0.010562426410615444,1.0228863954544067,0.010562426410615444,1.9999980926513672,0.010562426410615444
7,663,0.013488862663507462,,,,,,
8,699,,0.014725379645824432,,,,,
8,746,,,0.010373684577643871,1.0046082735061646,0.010373684577643871,1.9999979734420776,0.010373684577643871
8,746,0.013344728387892246,,,,,,
9,749,,0.015959210693836212,,,,,
9,799,,0.006442009471356869,,,,,
9,829,,,0.01040121354162693,1.0072741508483887,0.01040121354162693,1.9999979734420776,0.01040121354162693
9,829,0.01339707151055336,,,,,,
10,849,,0.01777234673500061,,,,,
10,899,,0.007027735933661461,,,,,
10,912,,,0.010412276722490788,1.008345603942871,0.010412276722490788,1.9999979734420776,0.010412276722490788
10,912,0.013299387879669666,,,,,,
11,949,,0.02754034847021103,,,,,
11,995,,,0.01039041392505169,1.0062283277511597,0.01039041392505169,1.9999979734420776,0.01039041392505169
11,995,0.013200622983276844,,,,,,
12,999,,0.011910675093531609,,,,,
12,1049,,0.022790158167481422,,,,,
12,1078,,,0.010351656936109066,1.0024750232696533,0.010351656936109066,1.9999979734420776,0.010351656936109066
12,1078,0.013246470130980015,,,,,,
13,1099,,0.008133993484079838,,,,,
13,1149,,0.009415271691977978,,,,,
13,1161,,,0.010375495068728924,1.0047835111618042,0.010375495068728924,1.9999979734420776,0.010375495068728924
13,1161,0.013559555634856224,,,,,,
14,1199,,0.008425603620707989,,,,,
14,1244,,,0.010416684672236443,1.0087724924087524,0.010416684672236443,1.9999980926513672,0.010416684672236443
14,1244,0.01316020730882883,,,,,,
15,1249,,0.008816106244921684,,,,,
15,1299,,0.015194643288850784,,,,,
15,1327,,,0.010759695433080196,1.0419902801513672,0.010759695433080196,1.9999980926513672,0.010759695433080196
15,1327,0.013324199244379997,,,,,,
16,1349,,0.00737738236784935,,,,,
16,1399,,0.008615357801318169,,,,,
16,1410,,,0.010832574218511581,1.0490480661392212,0.010832574218511581,1.9999980926513672,0.010832574218511581
16,1410,0.012857969850301743,,,,,,
17,1449,,0.032062631100416183,,,,,
17,1493,,,0.010924252681434155,1.0579262971878052,0.010924252681434155,1.9999980926513672,0.010924252681434155
17,1493,0.013507913798093796,,,,,,
